Fid,Fname,source
"3.2",Perceived reasons why people were unable to register to vote,Custom
"3.3",Voters who checked their name at a voter registration centre (by constituency),5ccfb6cb-00c5-44f7-90e5-597d71789640
3.4,Citizens who were asked to register in another constituency (by constituency),5cd41506-bf3d-4c6f-a2d0-77a5fc77c145
3.5,Reasons why voters changed their constituency of registration (n=263),Custom
3.6,Citizens who changed their registration to another constituency (by constituency surveyed post-election),5d0ad4ac-0a5b-4f9c-9729-ffa57ae4d7fc
3.7,Citizens who know of voters who registered in their constituency but live somewhere else (by constituency),5cd414ca-882e-4ef0-9530-6a306e4c9649
3.8,Voters who thought the electoral roll in their constituency was accurate (by constituency),Wait
3.9,Reasons voters thought the electoral roll was inaccurate,Custom
3.11,Citizens who saw SIEC media or awareness (by category),Custom
3.13,Voters who discussed the election on social media (by constituency),5cad913a-4038-4f56-9478-25da8fe0727a
3.14,Voters who discussed the election on social media (by age),5d0acf80-c117-4647-88b7-5d4f1cac79aa
3.15,Observers assessments of the law and order situation during the campaign period (all constituencies),5ccfbc29-6c1f-41b8-822b-5ea661d84db8
3.16,Election-related tension or violence observed during the campaign period (by constituency),5ccfc050-41a3-43b9-9a5b-21f15c74a17e
3.17,Observers who heard about election-related tension or violence during the campaign period (all constituencies),5ccfc166-6252-4e00-a56b-6ebc17f6127c
4.1,Campaign issues or promises addressed at candidate rallies,Custom
4.2,Campaign activities performed by women,Custom
4.3,Voters who thought there should be more women MPs (all constituencies and by constituency),Wait
4.4,Voters who thought there should be more women MPs (all constituencies and by constituency),Wait
4.5,Voters who thought there should be more women MPs (all constituencies sampled by gender),5cdcfe02-8aa8-4531-a113-d510fdeb132a
4.6,Voters who said they would vote for a woman candidate (all constituencies and by constituency),5c9c808a-15d5-41e0-b57b-bc8a86ed22c8
4.8,Voters who said they would vote for a woman candidate (all constituencies and by gender),5cdcfeba-af85-4001-9d3d-0be08f18a915
4.11,Citizens who were promised support by candidates (all constituencies and by constituency),Wait
4.12,Heard reports of candidates or candidates’ agents handing over cash to obtain votes (all constituencies and by constituency),5cd0e165-946a-4e26-ab8e-9ab66f7f1e42
4.14,Observers who heard about candidates soliciting votes on the night before the election (all constituencies and by constituency),5cd0effc-7aa5-4699-b00d-7c7f694afb5e
4.15,Observers who heard about candidates soliciting votes on the night before the election (all constituencies and by constituency),Wait
4.18,Voters who said they or their family had received CDF support in the last five years (all constituencies),5ca2d28e-2934-452a-a8e6-94ad72e2f1c2
4.19,Voters who said they or their family had received CDF support in the last five years (by constituency),5c9c5889-33bc-46d6-93b9-f28eae59e643
4.21,Voters who said their community had received CDF projects in the last five years (by constituency),5c9c58d5-08f0-40c1-b408-eef0d7ea9928
4.24,Voters who thought CDFs were fairly distributed (all constituencies),5ca2d381-0a3e-4a67-be8f-1f119ecb6fbc
4.25,Voters who thought CDFs were fairly distributed (by constituencies),5c9c5929-fb27-46fa-b732-6cb91b7123a7
4.26,Voters who thought the current level of CDFs for MPs was the right amount,5ca2d3a2-9ca1-499a-b5c2-9aa33fbc10a3
5.1,Expectations held by voters about election day (all constituencies),Custom
5.2,Citizens experiences of election day (all constituencies),Custom
5.3,Reasons citizens thought their vote was not secret,Custom
5.4,Citizens who believed the winning candidate would find out who they voted for (all constituencies),5c9c803c-099b-4013-8d6c-1149551dffd0
5.6,Citizens who thought a voter ID card was required to vote (all constituencies),5ccfd7b4-29bd-472c-9920-3adc88d9e61c
