1. Cocoa Value Chain Governance ,1. Governance (Führung) der Kakao-Wertschöpfungskette,Capacity building and empowerment of cooperatives and farmer organisations,Kapazitätsaufbau und Stärkung von Genossenschaften und Bauernorganisationen
1. Cocoa Value Chain Governance ,1. Governance (Führung) der Kakao-Wertschöpfungskette,Direct cocoa sourcing arrangements and sustainable cocoa sourcing partnerships,Direkte Vereinbarungen zur Beschaffung von Kakao und nachhaltige Partnerschaften zur Beschaffung von Kakao
1. Cocoa Value Chain Governance ,1. Governance (Führung) der Kakao-Wertschöpfungskette,Cocoa certification requirements and practices,Anforderungen und Praktiken für die Kakao-Zertifizierung
1. Cocoa Value Chain Governance ,1. Governance (Führung) der Kakao-Wertschöpfungskette,Cocoa Traceability ,Rückverfolgbarkeit von Kakao
1. Cocoa Value Chain Governance ,1. Governance (Führung) der Kakao-Wertschöpfungskette,Mapping of cocoa farms,Kartierung von Kakaofarmen
1. Cocoa Value Chain Governance ,1. Governance (Führung) der Kakao-Wertschöpfungskette,Professionalisation of cocoa cooperatives / farmer organisations,Professionalisierung von Kakao-Genossenschaften / Bauernorganisationen
1. Cocoa Value Chain Governance ,1. Governance (Führung) der Kakao-Wertschöpfungskette,Business management plan for farmer-based organizations (FBO),Unternehmensführungsplan für bäuerliche Organisationen (FBO)
1. Cocoa Value Chain Governance ,1. Governance (Führung) der Kakao-Wertschöpfungskette,Local multi-stakeholder (including multi-commodity) partnerships and governance / landscape arrangement in cocoa producing areas,Lokale Multi-Stakeholder-Partnerschaften (einschließlich Multi-Commodity-Partnerschaften) und Governance- / Landschaftsvereinbarungen in kakaoproduzierenden Gebieten
1. Cocoa Value Chain Governance ,1. Governance (Führung) der Kakao-Wertschöpfungskette,Jurisdictional approach,Zuständigkeitsansatz
1. Cocoa Value Chain Governance ,1. Governance (Führung) der Kakao-Wertschöpfungskette,Capacity and performance of key actors in governance of cocoa value chains,Kapazität und Leistung der Hauptakteure bei der Steuerung der Kakao-Wertschöpfungsketten
1. Cocoa Value Chain Governance ,1. Governance (Führung) der Kakao-Wertschöpfungskette,"Strategies and policies to foster sustainable cocoa value and supply chains at regional, national, and global levels","Strategien und Strategien zur Förderung einer nachhaltigen Wertschöpfungs- und Lieferkette für Kakao auf regionaler, nationaler und globaler Ebene"
2. Living Income for cocoa farming households,2. Lebenseinkommen für Kakaobauern Haushalte,Household income monitoring – Closing the living income gap,Monitoring des Haushaltseinkommens - Schließung der Einkommenslücke
2. Living Income for cocoa farming households,2. Lebenseinkommen für Kakaobauern Haushalte,Cocoa pricing - Cocoa market mechanisms,Kakaopreise - Kakaomarktmechanismen
2. Living Income for cocoa farming households,2. Lebenseinkommen für Kakaobauern Haushalte,Premiums paid to cocoa farmers and/or cooperatives ,Prämien an Kakaobauern und / oder Genossenschaften
3. Agricultural practices and productivity,3. Landwirtschaftliche Praktiken und Produktivität,Cocoa production and productivity,Kakaoproduktion und Produktivität
3. Agricultural practices and productivity,3. Landwirtschaftliche Praktiken und Produktivität,Cocoa Agroforestry development,Entwicklung der Kakao-Agroforstwirtschaft
3. Agricultural practices and productivity,3. Landwirtschaftliche Praktiken und Produktivität,Agricultural diversification (Diversification towards other agricultural produce),Landwirtschaftliche Diversifizierung (Diversifizierung hin zu anderen landwirtschaftlichen Erzeugnissen)
3. Agricultural practices and productivity,3. Landwirtschaftliche Praktiken und Produktivität,Good Agricultural Practices,Gute landwirtschaftliche Praktiken
4. Child Labour and Human Rights,4. Kinderarbeit und Menschenrechte,Prevention and remediation of Child Labour,Prävention und Sanierung von Kinderarbeit
4. Child Labour and Human Rights,4. Kinderarbeit und Menschenrechte,Human Rights in cocoa supply chains / cocoa producing communities,Menschenrechte in Kakao-Lieferketten / kakaoproduzierenden Gemeinschaften
5. Livelihoods of cocoa producing communities,5. Lebensgrundlagen kakaoproduzierender Gemeinschaften,Access to social services,Zugang zu sozialen Diensten
5. Livelihoods of cocoa producing communities,5. Lebensgrundlagen kakaoproduzierender Gemeinschaften,Balanced nutrition,Ausgewogene Ernährung
5. Livelihoods of cocoa producing communities,5. Lebensgrundlagen kakaoproduzierender Gemeinschaften,Clean water,Sauberes Wasser
5. Livelihoods of cocoa producing communities,5. Lebensgrundlagen kakaoproduzierender Gemeinschaften,Education: access and educational outcomes,Bildung: Zugang und Bildungsergebnisse
5. Livelihoods of cocoa producing communities,5. Lebensgrundlagen kakaoproduzierender Gemeinschaften,Access to health,Zugang zur Gesundheit
6. Economic and social empowerment of cocoa producing communities ,6. Wirtschaftliche und soziale Stärkung der kakaoproduzierenden Gemeinschaften,Land tenure and share cropping arrangements,Landbesitz und gemeinsame Erntevereinbarungen
6. Economic and social empowerment of cocoa producing communities ,6. Wirtschaftliche und soziale Stärkung der kakaoproduzierenden Gemeinschaften,Development of local markets,Entwicklung lokaler Märkte
6. Economic and social empowerment of cocoa producing communities ,6. Wirtschaftliche und soziale Stärkung der kakaoproduzierenden Gemeinschaften,"Entrepreneurship, business case development and business incubation","Unternehmertum, Business Case-Entwicklung und Unternehmensgründung"
6. Economic and social empowerment of cocoa producing communities ,6. Wirtschaftliche und soziale Stärkung der kakaoproduzierenden Gemeinschaften,Adult skills development in cocoa farming communities,Entwicklung der Fähigkeiten von Erwachsenen in kakaoproduzierenden Gemeinschaften
6. Economic and social empowerment of cocoa producing communities ,6. Wirtschaftliche und soziale Stärkung der kakaoproduzierenden Gemeinschaften,Access to finance for cocoa farming communities,Zugang zu Finanzmitteln für kakaoproduzierende Gemeinschaften
6. Economic and social empowerment of cocoa producing communities ,6. Wirtschaftliche und soziale Stärkung der kakaoproduzierenden Gemeinschaften,Income generating activities (excluding VSLA and crop diversification),Einkommensgenerierende Aktivitäten (ohne VSLA und Diversifizierung der Kulturpflanzen)
6. Economic and social empowerment of cocoa producing communities ,6. Wirtschaftliche und soziale Stärkung der kakaoproduzierenden Gemeinschaften,Improving gender equality and opportunities for women,Verbesserung der Gleichstellung der Geschlechter und der Chancen für Frauen
6. Economic and social empowerment of cocoa producing communities ,6. Wirtschaftliche und soziale Stärkung der kakaoproduzierenden Gemeinschaften,Promoting the participation of young people in the cocoa cultivation/cocoa sector,Förderung der Beteiligung junger Menschen am Kakaoanbau / Kakaosektor
6. Economic and social empowerment of cocoa producing communities ,6. Wirtschaftliche und soziale Stärkung der kakaoproduzierenden Gemeinschaften,Promotion of local civil society,Förderung der lokalen Zivilgesellschaft
7. Halting deforestation - Forest preservation and restoration,7. Entwaldung stoppen - Erhaltung und Wiederherstellung des Waldes,Halting (cocoa related) deforestation ,Stopp der (kakaobezogenen) Entwaldung
7. Halting deforestation - Forest preservation and restoration,7. Entwaldung stoppen - Erhaltung und Wiederherstellung des Waldes,Forest protection and conservation ,Waldschutz und -erhaltung
7. Halting deforestation - Forest preservation and restoration,7. Entwaldung stoppen - Erhaltung und Wiederherstellung des Waldes,Forest restoration - Forestation of targeted areas,Waldrestaurierung - Aufforstung von Zielgebieten
7. Halting deforestation - Forest preservation and restoration,7. Entwaldung stoppen - Erhaltung und Wiederherstellung des Waldes,The status of protected areas and the role forest plays in climate regulation,Der Status von Schutzgebieten und die Rolle des Waldes bei der Klimaregulierung
8. Environmentally sustainable farming,8. Umweltverträgliche Landwirtschaft,"Regional strategies and/or programmes for integrated, environmentally sustainable, agricultural development","Regionale Strategien und / oder Programme für eine integrierte, umweltverträgliche landwirtschaftliche Entwicklung"
8. Environmentally sustainable farming,8. Umweltverträgliche Landwirtschaft,Organic farming,Biologische Landwirtschaft
8. Environmentally sustainable farming,8. Umweltverträgliche Landwirtschaft,Good Environmental Practices in farming,Gute Umweltpraktiken in der Landwirtschaft
8. Environmentally sustainable farming,8. Umweltverträgliche Landwirtschaft,Integrated pest management / curbing the usage of hazardous pesticides,Integriertes Schädlingsmanagement / Eindämmung des Einsatzes gefährlicher Pestizide
8. Environmentally sustainable farming,8. Umweltverträgliche Landwirtschaft,Soil restoration,Bodenrestaurierung
8. Environmentally sustainable farming,8. Umweltverträgliche Landwirtschaft,Environmental and bio-diversity outcomes of cocoa-agroforestry and organic / integrated farming,Umwelt- und Biodiversitätsergebnisse der Kakao-Agroforstwirtschaft und des ökologischen / integrierten Landbaus
9. Climate Change ,9. Klimawandel,Climate change awareness,Bewusstsein für den Klimawandel
9. Climate Change ,9. Klimawandel,Climate Smart Cocoa (good practices),Climate Smart Cocoa (bewährte Verfahren)
9. Climate Change ,9. Klimawandel,Climate change adaption (mitigation of adverse climate change impact),Anpassung an den Klimawandel (Abschwächung der nachteiligen Auswirkungen des Klimawandels)
9. Climate Change ,9. Klimawandel,REDD++ ,REDD ++
