name,type,parent
Sida MARPLASTICCs,project,
Mozambique,country,Sida MARPLASTICCs
Vietnam,country,Sida MARPLASTICCs
Thailand,country,Sida MARPLASTICCs
Kenya,country,Sida MARPLASTICCs
Global,country,Sida MARPLASTICCs
South Africa,country,Sida MARPLASTICCs
Norad Plastic waste Free Islands,project,
Antigua & Barbuda,country,Norad Plastic waste Free Islands
St. Lucia,country,Norad Plastic waste Free Islands
Grenada,country,Norad Plastic waste Free Islands
Fiji,country,Norad Plastic waste Free Islands
Vanuatu,country,Norad Plastic waste Free Islands
Samoa,country,Norad Plastic waste Free Islands
Global,country,Norad Plastic waste Free Islands
Primat Plastic waste Free Islands,project,
Menorca,country,Primat Plastic waste Free Islands
Lastovo,country,Primat Plastic waste Free Islands
Global,country,Primat Plastic waste Free Islands
