translationable_id,text,translationable_type,lang,source
1,Afganistán,App\Country,es,Afghanistan
2,Angola,App\Country,es,Angola
3,Albania,App\Country,es,Albania
4,Andorra,App\Country,es,Andorra
5,Emiratos Árabes Unidos,App\Country,es,United Arab Emirates
6,Argentina,App\Country,es,Argentina
7,Armenia,App\Country,es,Armenia
8,Antigua y Barbuda,App\Country,es,Antigua and Barbuda
9,Australia,App\Country,es,Australia
10,Austria,App\Country,es,Austria
11,Azerbaiyán,App\Country,es,Azerbaijan
12,Burundi,App\Country,es,Burundi
13,Bélgica,App\Country,es,Belgium
14,Benin,App\Country,es,Benin
15,Burkina Faso,App\Country,es,Burkina Faso
16,Bangladesh,App\Country,es,Bangladesh
17,Bulgaria,App\Country,es,Bulgaria
18,Bahréin,App\Country,es,Bahrain
19,Bahamas,App\Country,es,Bahamas
20,Bosnia y Herzegovina,App\Country,es,Bosnia and Herzegovina
21,Belarús,App\Country,es,Belarus
22,Belice,App\Country,es,Belize
23,Bolivia (Estado Plurinacional de),App\Country,es,Bolivia
24,Brasil,App\Country,es,Brazil
25,Barbados,App\Country,es,Barbados
26,Brunei Darussalam,App\Country,es,Brunei Darussalam
27,Bhután,App\Country,es,Bhutan
28,Botswana,App\Country,es,Botswana
29,República Centroafricana,App\Country,es,Central African Republic
30,Canadá,App\Country,es,Canada
31,Suiza,App\Country,es,Switzerland
32,Chile,App\Country,es,Chile
33,China,App\Country,es,China
34,Côte d'Ivoire,App\Country,es,Côte d’Ivoire
35,Camerún,App\Country,es,Cameroon
36,República Democrática del Congo,App\Country,es,Democratic Republic of the Congo
37,Congo,App\Country,es,Congo
38,Colombia,App\Country,es,Colombia
39,Comoras,App\Country,es,Comoros
40,Cabo Verde,App\Country,es,Cape Verde
41,Costa Rica,App\Country,es,Costa Rica
42,Cuba,App\Country,es,Cuba
43,Chipre,App\Country,es,Cyprus
44,Chequia,App\Country,es,Czechia
45,Alemania,App\Country,es,Germany
46,Djibouti,App\Country,es,Djibouti
47,Dominica,App\Country,es,Dominica
48,Dinamarca,App\Country,es,Denmark
49,República Dominicana,App\Country,es,Dominican Republic
50,Argelia,App\Country,es,Algeria
51,Ecuador,App\Country,es,Ecuador
52,Egipto,App\Country,es,Egypt
53,Eritrea,App\Country,es,Eritrea
54,España,App\Country,es,Spain
55,Estonia,App\Country,es,Estonia
56,Etiopía,App\Country,es,Ethiopia
57,Finlandia,App\Country,es,Finland
58,Fiji,App\Country,es,Fiji
59,Francia,App\Country,es,France
60,Micronesia (Estados Federados de),App\Country,es,Micronesia (Federated States of)
61,Gabón,App\Country,es,Gabon
62,Reino Unido de Gran Bretaña e Irlanda del Norte,App\Country,es,U.K. of Great Britain and Northern Ireland
63,Georgia,App\Country,es,Georgia
64,Ghana,App\Country,es,Ghana
65,Guinea,App\Country,es,Guinea
66,Gambia,App\Country,es,Gambia
67,Guinea-Bissau,App\Country,es,Guinea-Bissau
68,Guinea Ecuatorial,App\Country,es,Equatorial Guinea
69,Grecia,App\Country,es,Greece
70,Granada,App\Country,es,Grenada
71,Guatemala,App\Country,es,Guatemala
72,Guyana,App\Country,es,Guyana
73,Honduras,App\Country,es,Honduras
74,Croacia,App\Country,es,Croatia
75,Haití,App\Country,es,Haiti
76,Hungría,App\Country,es,Hungary
77,Indonesia,App\Country,es,Indonesia
78,India,App\Country,es,India
79,Irlanda,App\Country,es,Ireland
80,Irán (República Islámica del),App\Country,es,Iran (Islamic Republic of)
81,Iraq,App\Country,es,Iraq
82,Islandia,App\Country,es,Iceland
83,Israel,App\Country,es,Israel
84,Italia,App\Country,es,Italy
85,Jamaica,App\Country,es,Jamaica
86,Jordania,App\Country,es,Jordan
87,Japón,App\Country,es,Japan
88,Kazajstán,App\Country,es,Kazakhstan
89,Kenya,App\Country,es,Kenya
90,Kirguistán,App\Country,es,Kyrgyzstan
91,Camboya,App\Country,es,Cambodia
92,Kiribati,App\Country,es,Kiribati
93,Saint Kitts y Nevis,App\Country,es,Saint Kitts and Nevis
94,República de Corea,App\Country,es,Republic of Korea
95,Kuwait,App\Country,es,Kuwait
96,República Democrática Popular Lao,App\Country,es,Lao People's Democratic Republic
97,Líbano,App\Country,es,Lebanon
98,Liberia,App\Country,es,Liberia
99,Libia,App\Country,es,Libya
100,Santa Lucía,App\Country,es,Saint Lucia
101,Liechtenstein,App\Country,es,Liechtenstein
102,Sri Lanka,App\Country,es,Sri Lanka
103,Lesotho,App\Country,es,Lesotho
104,Lituania,App\Country,es,Lithuania
105,Luxemburgo,App\Country,es,Luxembourg
106,Letonia,App\Country,es,Latvia
107,Marruecos,App\Country,es,Morocco
108,Mónaco,App\Country,es,Monaco
109,Moldova (República de),App\Country,es,"Moldova, Republic of"
110,Madagascar,App\Country,es,Madagascar
111,Maldivas,App\Country,es,Maldives
112,México,App\Country,es,Mexico
113,Islas Marshall,App\Country,es,Marshall Islands
114,ex República Yugoslava de Macedonia,App\Country,es,The former Yugoslav Republic of Macedonia
