translationable_id,text,translationable_type,lang,source
1,Afghanistan,App\Country,fr,Afghanistan
2,Angola,App\Country,fr,Angola
3,Albanie,App\Country,fr,Albania
4,Andorre,App\Country,fr,Andorra
5,Émirats arabes unis,App\Country,fr,United Arab Emirates
6,Argentine,App\Country,fr,Argentina
7,Arménie,App\Country,fr,Armenia
8,Antigua-et-Barbuda,App\Country,fr,Antigua and Barbuda
9,Australie,App\Country,fr,Australia
10,Autriche,App\Country,fr,Austria
11,Azerbaïdjan,App\Country,fr,Azerbaijan
12,Burundi,App\Country,fr,Burundi
13,Belgique,App\Country,fr,Belgium
14,Bénin,App\Country,fr,Benin
15,Burkina Faso,App\Country,fr,Burkina Faso
16,Bangladesh,App\Country,fr,Bangladesh
17,Bulgarie,App\Country,fr,Bulgaria
18,Bahreïn,App\Country,fr,Bahrain
19,Bahamas,App\Country,fr,Bahamas
20,Bosnie-Herzégovine,App\Country,fr,Bosnia and Herzegovina
21,Bélarus,App\Country,fr,Belarus
22,Belize,App\Country,fr,Belize
23,Bolivie,App\Country,fr,Bolivia
24,Brésil,App\Country,fr,Brazil
25,Barbade,App\Country,fr,Barbados
26,Brunéi Darussalam,App\Country,fr,Brunei Darussalam
27,Bhoutan,App\Country,fr,Bhutan
28,Botswana,App\Country,fr,Botswana
29,République centrafricaine,App\Country,fr,Central African Republic
30,Canada,App\Country,fr,Canada
31,Suisse,App\Country,fr,Switzerland
32,Chili,App\Country,fr,Chile
33,Chine,App\Country,fr,China
34,Côte d’Ivoire,App\Country,fr,Côte d’Ivoire
35,Cameroun,App\Country,fr,Cameroon
36,République démocratique du Congo,App\Country,fr,Democratic Republic of the Congo
37,Congo,App\Country,fr,Congo
38,Colombie,App\Country,fr,Colombia
39,Comores,App\Country,fr,Comoros
40,Cabo Verde,App\Country,fr,Cape Verde
41,Costa Rica,App\Country,fr,Costa Rica
42,Cuba,App\Country,fr,Cuba
43,Chypre,App\Country,fr,Cyprus
44,Tchéquie,App\Country,fr,Czechia
45,Allemagne,App\Country,fr,Germany
46,Djibouti,App\Country,fr,Djibouti
47,Dominique,App\Country,fr,Dominica
48,Danemark,App\Country,fr,Denmark
49,République dominicaine,App\Country,fr,Dominican Republic
50,Algérie,App\Country,fr,Algeria
51,Équateur,App\Country,fr,Ecuador
52,Égypte,App\Country,fr,Egypt
53,Érythrée,App\Country,fr,Eritrea
54,Espagne,App\Country,fr,Spain
55,Estonie,App\Country,fr,Estonia
56,Éthiopie,App\Country,fr,Ethiopia
57,Finlande,App\Country,fr,Finland
58,Fidji,App\Country,fr,Fiji
59,France,App\Country,fr,France
60,Micronésie (États fédérés de),App\Country,fr,Micronesia (Federated States of)
61,Gabon,App\Country,fr,Gabon
62,Royaume-Uni de Grande-Bretagne et d’Irlande du Nord,App\Country,fr,U.K. of Great Britain and Northern Ireland
63,Géorgie,App\Country,fr,Georgia
64,Ghana,App\Country,fr,Ghana
65,Guinée,App\Country,fr,Guinea
66,Gambie,App\Country,fr,Gambia
67,Guinée-Bissau,App\Country,fr,Guinea-Bissau
68,Guinée équatoriale,App\Country,fr,Equatorial Guinea
69,Grèce,App\Country,fr,Greece
70,Grenade,App\Country,fr,Grenada
71,Guatemala,App\Country,fr,Guatemala
72,Guyana,App\Country,fr,Guyana
73,Honduras,App\Country,fr,Honduras
74,Croatie,App\Country,fr,Croatia
