translationable_id,text,translationable_type,lang,source
1,Rapport présenté,App\Value,fr,Reporting
2,En tant que particulier,App\Value,fr,As an individual
3,Au nom d’une organisation,App\Value,fr,On behalf of an organisation
4,Autre,App\Value,fr,Other
5,Type d’action,App\Value,fr,Type of Action
6,"LÉGISLATION, NORMES ET RÈGLES : par ex., adopter de nouvelles règles ou normes, ou modifier celles qui existent, mettre en place de nouveaux règlements, accords, politiques, instruments économiques, etc., y compris des engagements volontaires.",App\Value,fr,"LEGISLATION, STANDARDS, RULES: e.g. agreeing new or changing rules or standards that others should comply with, new regulation, agreements, policies, economic instruments etc. including voluntary commitments."
7,"TRAVAILLER AVEC LES GENS : encourager ou habiliter les acteurs (par ex., au moyen de programmes d’éducation, de formation, de communication, de sensibilisation, de changement de comportement, etc.)",App\Value,fr,"WORKING WITH PEOPLE: Encouraging or enabling others (e.g., education, training, communication, awareness raising, behaviour change programmes"
8,"TECHNOLOGIE ET PROCÉDÉS : favoriser les évolutions/innovations dans le domaine technique (par ex., recherche-développement, conception de nouveaux produits, matériaux, procédés etc.) et dans les pratiques, les modes opératoires, et la gestion ainsi que la planification de l’environnement.",App\Value,fr,"TECHNOLOGY and PROCESSES: New technical developments/innovation (e.g., research and development, new product design, new materials, processes etc.) changes in practice, operations, environmental management and planning."
9,"SUIVI ET ANALYSE : rassembler des preuves se rapportant aux rejets de plastiques dans les océans/cours d’eau ? (par ex., surveillance, analyse)",App\Value,fr,"MONITORING and ANALYSIS: Collecting evidence around plastic discharge to the ocean/waterways? (e.g. monitoring, analysis)"
10,Accords officiels,App\Value,fr,Official agreements
11,Réforme ou élaboration des politiques,App\Value,fr,Policy change or development
12,Stratégie de haut niveau,App\Value,fr,High-level strategy
13,Législation ou réglementation,App\Value,fr,Legislation or regulations
14,Engagements volontaires,App\Value,fr,Voluntary commitments
15,Nouvelle(s) norme(s) ou ligne(s) directrice(s),App\Value,fr,New standard(s) or guideline(s)
16,Réforme fiscale/des régimes de subvention,App\Value,fr,Change in Taxes/Subsidies
17,Subventions/incitations financières,App\Value,fr,Subsidy/financial incentives
18,Interdiction(s),App\Value,fr,Ban(s)
19,"Ensemble de mesures associant incitations et infrastructures (par ex., systèmes de consignation)",App\Value,fr,Package of measures combining incentives and infrastructure (e.g. deposit reward schemes)
20,Autre,App\Value,fr,Other
21,Sensibilisation et modification des comportements,App\Value,fr,Awareness raising and Behaviour change
22,Éducation/formation,App\Value,fr,Education/Training
23,Ateliers,App\Value,fr,Workshops
24,Conférences,App\Value,fr,Conferences
25,Autre,App\Value,fr,Other
26,Campagne d’information,App\Value,fr,Information campaign
27,Campagne/programme de changement de comportement,App\Value,fr,Behaviour change campaign/programme
28,Mobilisation de la population,App\Value,fr,Community Engagement
29,Participation des parties prenantes,App\Value,fr,Stakeholder Engagement
30,Sciences participatives,App\Value,fr,Citizen Science
31,Événement créatif/artistique ; exposition,App\Value,fr,Creative/arts event; exhibition
32,Autre,App\Value,fr,Other
33,Élaboration de programmes d’enseignement,App\Value,fr,Curriculum development
34,Formation professionnelle spécialisée,App\Value,fr,Professional skills training
35,Autres programmes de formation,App\Value,fr,Other training programmes
36,Apprentissage tout au long de la vie,App\Value,fr,Life-long learning
37,Développement institutionnel,App\Value,fr,Institutional development
38,Autre,App\Value,fr,Other
39,Enseignement primaire,App\Value,fr,Primary school
40,Enseignement secondaire,App\Value,fr,Secondary school
41,Enseignement supérieur,App\Value,fr,Tertiary higher education
42,Autre,App\Value,fr,Other
43,Conception de nouveaux produits,App\Value,fr,New product design
44,Modification de la prestation de services,App\Value,fr,Change in service provision
45,Planification socio-environnementale,App\Value,fr,Environmental social planning
46,Modification des pratiques,App\Value,fr,Change in practice
47,Modification des modes opératoires,App\Value,fr,Change in operations
48,Norme industrielle ou de production,App\Value,fr,Industrial or production standard
49,Modification de la gestion environnementale des milieux terrestres,App\Value,fr,Different environmental management of land based environments
50,Modification de la gestion environnementale des milieux aquatiques,App\Value,fr,Different environmental management of aquatic environments
51,Recherche-développement,App\Value,fr,Research and Development
52,Nouvelles infrastructures,App\Value,fr,New infrastructure
53,Utilisation de plastiques compostables,App\Value,fr,The use of compostable plastic
54,Utilisation de plastiques d’origine biologique,App\Value,fr,The use of bio-based plastic
55,Utilisation de plastiques biodégradables,App\Value,fr,The use of biodegradable plastic
56,Autre,App\Value,fr,Other
57,Réduction de l’impact environnemental,App\Value,fr,Reducing the environmental impact
58,Mise au point de nouveaux matériaux,App\Value,fr,Developing a new material
59,Mise au point de nouveaux procédés,App\Value,fr,Developing a new process
60,Fabrication et production,App\Value,fr,Manufacturing and Production
61,Normes,App\Value,fr,Standards
62,Gestion des déchets,App\Value,fr,Waste Management
63,Plastiques compostables,App\Value,fr,Compostable plastic
64,Plastiques d’origine biologique,App\Value,fr,Bio-based plastic
65,Plastiques biodégradables,App\Value,fr,Bio-degradable pastic
66,Autre,App\Value,fr,Other
67,Surveillance : à la surface de l’océan ou à faible profondeur,App\Value,fr,Monitoring: On or near ocean surface
68,Surveillance : colonne d’eau,App\Value,fr,Monitoring: Water column
69,Surveillance : fonds marins,App\Value,fr,Monitoring: On the seafloor
70,Surveillance : littoral,App\Value,fr,Monitoring: On the shoreline
71,Surveillance : biote,App\Value,fr,Monitoring: In Biota
72,Surveillance : atmosphère,App\Value,fr,Monitoring: Air
73,Examen et synthèse : environnement,App\Value,fr,Review and synthesis :Environmental
74,Examen et synthèse : économie,App\Value,fr,Review and synthesis: Economic
75,Examen et synthèse : matériaux,App\Value,fr,Review and synthesis: Materials
76,Autre,App\Value,fr,Other
77,Rôle du déclarant/de l’organisation,App\Value,fr,Role Organisation
78,Nous ne faisons que rapporter,App\Value,fr,We are only reporting it here
79,Je suis/Nous sommes le(s) concepteur(s),App\Value,fr,I/We developed it
80,J’assure/Nous assurons la mise en œuvre,App\Value,fr,I/We are implementing it
81,Nous assurons le financement,App\Value,fr,We are the funding body
82,Autre,App\Value,fr,Other
83,Responsable,App\Value,fr,Responsible Actor
84,ADMINISTRATION PUBLIQUE (organismes se chargeant des politiques et programmes gouvernementaux),App\Value,fr,PUBLIC ADMINISTRATION (organisations concerned with government policies and programmes)
85,"SECTEUR PRIVÉ (entités à but lucratif dirigées par des particuliers ou des groupes, sans participation du gouvernement).",App\Value,fr,"PRIVATE SECTOR ORGANISATION (for-profit organisations run by individuals and groups, free from government ownership)."
86,"TROISIÈME SECTEUR (par ex., organisations non gouvernementales et autres à but non lucratif, y compris les organismes caritatifs, associations communautaires, etc.).",App\Value,fr,"THIRD SECTOR (e.g. non-governmental and non-profit-making organisations, including charity groups, community groups etc)."
87,Autre,App\Value,fr,Other
88,Organisme international,App\Value,fr,International body
89,Ministère/organisme national,App\Value,fr,National ministry/agency
90,Ministère/organisme infranational,App\Value,fr,Sub-national ministry/agency
91,Autre,App\Value,fr,Other
92,Société multinationale,App\Value,fr,Multinational Corporation
93,Société nationale,App\Value,fr,National Corporation
94,Entreprise de petite ou moyenne envergure,App\Value,fr,Small-medium sized enterprise
95,Autre,App\Value,fr,Other
96,Organisation non gouvernementale,App\Value,fr,Non-governmental organisation
97,Organisation communautaire,App\Value,fr,Community based organisation
98,Secteur de l’éducation,App\Value,fr,Educational sector
99,Autre,App\Value,fr,Other
100,Notification et évaluation,App\Value,fr,Reporting and Evaluations
101,Oui,App\Value,fr,Yes
102,Non,App\Value,fr,No
103,Sans objet,App\Value,fr,Not applicable
104,Un mécanisme de communication obligatoire d’informations existe,App\Value,fr,There is a mandatory reporting mechanism
105,Les informations sont communiquées volontairement,App\Value,fr,Reporting is voluntary
106,Autre,App\Value,fr,Other
107,Aucun mécanisme de communication obligatoire d’informations n’existe,App\Value,fr,There is no reporting mechanism
108,Les informations sont communiquées volontairement,App\Value,fr,Reporting is voluntary
109,Les ressources disponibles ne suffisent pas pour financer la communication d’informations,App\Value,fr,There is not enough resource to support reporting
