id,Group,Country
1,COBSEA,Indonesia
2,COBSEA,Malaysia
3,COBSEA,Philippines
4,COBSEA,Singapore
5,COBSEA,Thailand
6,COBSEA,Cambodia
7,COBSEA,People's Republic of China
8,COBSEA,Republic of Korea
9,COBSEA,Vietnam
11,NOWPAP,China
12,NOWPAP,Japan
13,NOWPAP,The Republic of Korea
14,NOWPAP,The Russian Federation
16,Nairobi Convention,Comoros
17,Nairobi Convention,Mauritius
18,Nairobi Convention,Madagascar
19,Nairobi Convention,Seychelles
20,Nairobi Convention,Kenya
21,Nairobi Convention,Tanzania
22,Nairobi Convention,Somalia
23,Nairobi Convention,Mozambique
24,Nairobi Convention,Republic of South Africa
25,Nairobi Convention,France
27,MAP/Barcelona,Albania
28,MAP/Barcelona,Algeria
29,MAP/Barcelona,Bosnia and Herzegovina
30,MAP/Barcelona,Croatia
31,MAP/Barcelona,Cyprus
32,MAP/Barcelona,Egypt
33,MAP/Barcelona,France
34,MAP/Barcelona,Greece
35,MAP/Barcelona,Israel
36,MAP/Barcelona,Italy
37,MAP/Barcelona,Lebanon
38,MAP/Barcelona,Libya
39,MAP/Barcelona,Malta
40,MAP/Barcelona,Monaco
41,MAP/Barcelona,Montenegro
42,MAP/Barcelona,Morocco
43,MAP/Barcelona,Slovenia
44,MAP/Barcelona,Spain
45,MAP/Barcelona,Syria Arab Republic
46,MAP/Barcelona,Tunisia
47,MAP/Barcelona,Turkey
48,MAP/Barcelona,The European Union
50,Abidjan,"Angola,"
51,Abidjan,"Benin,"
52,Abidjan,"Cameroon,"
53,Abidjan,"Cape Verde,"
54,Abidjan,"Democratic Republic of Congo,"
55,Abidjan,"Republic of Congo,"
56,Abidjan,"Côte d’Ivoire,"
57,Abidjan,"Equatorial Guinea,"
58,Abidjan,"Gabon,"
59,Abidjan,"Gambia,"
60,Abidjan,"Ghana,"
61,Abidjan,"Guinea,"
62,Abidjan,"Guinea-Bissau,"
63,Abidjan,"Liberia,"
64,Abidjan,"Mauritania,"
65,Abidjan,"Namibia,"
66,Abidjan,"Nigeria,"
67,Abidjan,"Sao Tome e Principe,"
68,Abidjan,"Senegal,"
69,Abidjan,"Sierra Leone,"
70,Abidjan,South Africa
71,Abidjan,Togo
72,Tehran,Azerbaijan
73,Tehran,Islamic Reublic of Iran
74,Tehran,Kazakhstan
75,Tehran,Russian Federation
76,Tehran,Turkmenistan
78,Wider Caribbean,Antigua and Barbuda
79,Wider Caribbean,The Bahamas
80,Wider Caribbean,Barbados
81,Wider Caribbean,Belize
82,Wider Caribbean,Colombia
83,Wider Caribbean,Costa Rica
84,Wider Caribbean,Cuba
85,Wider Caribbean,Honduras
86,Wider Caribbean,Jamaica
87,Wider Caribbean,Mexico
88,Wider Caribbean,Netherlands
89,Wider Caribbean,Dominica
90,Wider Caribbean,Dominican Republic
91,Wider Caribbean,France
92,Wider Caribbean,Grenada
93,Wider Caribbean,Guatemala
94,Wider Caribbean,Guyana
95,Wider Caribbean,Haiti
96,Wider Caribbean,Nicaragua
97,Wider Caribbean,Panama
98,Wider Caribbean,St. Kitts and Nevis
99,Wider Caribbean,Saint Lucia
100,Wider Caribbean,St. Vincent and the Grenadines
101,Wider Caribbean,Suriname
102,Wider Caribbean,Trinidad and Tobago
103,Wider Caribbean,Venezuela
104,Wider Caribbean,United Kingdom
105,Wider Caribbean,United States of America
106,Wider Caribbean,European Economic Commission
108,Black Sea,Bulgaria
109,Black Sea,Georgia
110,Black Sea,Romania
111,Black Sea,Russian Federation
112,Black Sea,Turkey
113,Black Sea,Ukraine
115,OSPAR,"Belgium,"
116,OSPAR,"Denmark,"
117,OSPAR,"Finland,"
118,OSPAR,"France,"
119,OSPAR,"Germany,"
120,OSPAR,"Iceland,"
121,OSPAR,"Ireland,"
122,OSPAR,"Luxembourg,"
123,OSPAR,"The Netherlands,"
124,OSPAR,"Norway,"
125,OSPAR,"Portugal,"
126,OSPAR,"Spain,"
127,OSPAR,"Sweden,"
128,OSPAR,Switzerland
129,OSPAR,"United Kingdom,"
130,Red Sea and Gulf of Aden (PERSGA),Djibouti
131,Red Sea and Gulf of Aden (PERSGA),Egypt
132,Red Sea and Gulf of Aden (PERSGA),Jordan
133,Red Sea and Gulf of Aden (PERSGA),Somalia
134,Red Sea and Gulf of Aden (PERSGA),Saudi Arabia
135,Red Sea and Gulf of Aden (PERSGA),Sudan
136,Red Sea and Gulf of Aden (PERSGA),Yemen
137,ROPME Sea Area,Kingdom of Bahrain
138,ROPME Sea Area,Islamic Republic of Iran
139,ROPME Sea Area,Republic of Iraq
140,ROPME Sea Area,State of Kuwait
141,ROPME Sea Area,Sultanate of Oman
142,ROPME Sea Area,State of Qatar
143,ROPME Sea Area,Kingdom of Saudi Arabia
144,ROPME Sea Area,United Arab Emirates
145,South Asia Seas,Afghanistan
146,South Asia Seas,Bangladesh
147,South Asia Seas,Bhutan
148,South Asia Seas,india
149,South Asia Seas,Maldives
150,South Asia Seas,Nepal
151,South Asia Seas,Pakistan
152,South Asia Seas,Sri Lanka
153,South East Pacific,Chile
154,South East Pacific,Colombia
155,South East Pacific,Ecuador
156,South East Pacific,Peru
157,Pacific,Samoa
158,Pacific,Cook Islands
159,Pacific,Federated States of Micronesia
160,Pacific,Fiji
161,Pacific,French Polynesia
162,Pacific,Guam
163,Pacific,Kiribati
164,Pacific,Marshall Islands
165,Pacific,Nauru
166,Pacific,New Caledonia
167,Pacific,Niue
168,Pacific,Northern Mariana Islands
169,Pacific,Palau
170,Pacific,Papua New Guinea
171,Pacific,Samoa
172,Pacific,Solomon Islands
173,Pacific,Tokelau
174,Pacific,Tonga
175,Pacific,Tuvalu
176,Pacific,Vanuatu
177,Pacific,Wallis and Futuna
178,Pacific,Australia
179,Pacific,New Zealand
180,Pacific,United Kingdom
181,Pacific,United States of America
182,Pacific,France
183,Artic,"Canada,"
184,Artic,Denmark
185,Artic,"Finland,"
186,Artic,"Iceland,"
187,Artic,"Norway,"
188,Artic,Russian Federation
189,Artic,Sweden
190,Artic,The United states of America
191,Antarctic,Australia
192,Antarctic,Bulgaria
193,Antarctic,"Canada,"
194,Antarctic,Cook Islands
195,Antarctic,"Finland,"
196,Antarctic,Greece
197,Antarctic,Pakistan
198,Antarctic,Panama
199,Antarctic,Peru
200,Antarctic,Vanuatu
201,Baltic Sea,Denmark
202,Baltic Sea,Estonia
203,Baltic Sea,the European Union
204,Baltic Sea,Finland
205,Baltic Sea,Germany
206,Baltic Sea,Latvia
207,Baltic Sea,Lithuania
208,Baltic Sea,Poland
209,Baltic Sea,Russia
210,Baltic Sea,Sweden
211,North East Pacific,Guatamala
212,North East Pacific,Colombia
213,North East Pacific,Costa Rica
214,North East Pacific,El Salvador
215,North East Pacific,Honduras
216,North East Pacific,Mexico
217,North East Pacific,Nicaragua
218,North East Pacific,Panama
