source,translationable_id,text
Reporting,1,Pelaporan
As an individual,2,Sebagai seorang individu
On behalf of an organisation,3,Atas nama organisasi
Other,4,Lain
Type of Action,5,Ketik Aksi
"LEGISLATION, STANDARDS, RULES: e.g. agreeing new or changing rules or standards that others should comply with, new regulation, agreements, policies, economic instruments etc. including voluntary commitments.",6,"LEGISLASI, STANDAR, ATURAN: misalnya setuju baru atau mengubah aturan atau standar yang lain harus mematuhi, peraturan baru, perjanjian, kebijakan, instrumen ekonomi dll termasuk komitmen sukarela."
"WORKING WITH PEOPLE: Encouraging or enabling others (e.g., education, training, communication, awareness raising, behaviour change programmes",7,"BEKERJA DENGAN ORANG: Mendorong atau memungkinkan orang lain (misalnya, pendidikan, pelatihan, komunikasi, peningkatan kesadaran, program perubahan perilaku"
"TECHNOLOGY and PROCESSES: New technical developments/innovation (e.g., research and development, new product design, new materials, processes etc.) changes in practice, operations, environmental management and planning.",8,"TEKNOLOGI dan PROSES: New perkembangan teknis / inovasi (misalnya, penelitian dan pengembangan, desain baru produk, bahan-bahan baru, proses dll) perubahan dalam praktek, operasi, pengelolaan lingkungan dan perencanaan."
"MONITORING and ANALYSIS: Collecting evidence around plastic discharge to the ocean/waterways? (e.g. monitoring, analysis)",9,"PEMANTAUAN dan ANALISIS: Mengumpulkan bukti sekitar debit plastik ke laut / perairan? (Misal pemantauan, analisis)"
Official agreements,10,perjanjian resmi
Policy change or development,11,perubahan kebijakan atau pengembangan
High-level strategy,12,strategi tingkat tinggi
Legislation or regulations,13,Undang atau peraturan
Voluntary commitments,14,komitmen sukarela
New standard(s) or guideline(s),15,standar baru (s) atau pedoman (s)
Change in Taxes/Subsidies,16,Perubahan Pajak / Subsidi
Subsidy/financial incentives,17,Subsidi / insentif keuangan
Ban(s),18,Ban (s)
Package of measures combining incentives and infrastructure (e.g. deposit reward schemes),19,Paket kebijakan menggabungkan insentif dan infrastruktur (misalnya skema deposito reward)
Other,20,Lain
Awareness raising and Behaviour change,21,Peningkatan kesadaran dan perubahan perilaku
Education/Training,22,Pelatihan Pendidikan
Workshops,23,lokakarya
Conferences,24,konferensi
Other,25,Lain
Information campaign,26,kampanye informasi
Behaviour change campaign/programme,27,Perubahan perilaku kampanye / Program
Community Engagement,28,Pertunangan Komunitas
Stakeholder Engagement,29,Keterlibatan pemangku kepentingan
Citizen Science,30,Ilmu Citizen
Creative/arts event; exhibition,31,Kreatif / seni acara; pameran
Other,32,Lain
Curriculum development,33,Pengembangan kurikulum
Professional skills training,34,pelatihan keterampilan profesional
Other training programmes,35,program pelatihan lainnya
Life-long learning,36,Belajar sepanjang hayat
Institutional development,37,pengembangan kelembagaan
Other,38,Lain
Primary school,39,Sekolah dasar
Secondary school,40,Sekolah Menengah
Tertiary higher education,41,pendidikan tinggi tersier
Other,42,Lain
New product design,43,desain produk baru
Change in service provision,44,Perubahan dalam penyediaan layanan
Environmental social planning,45,perencanaan sosial lingkungan
Change in practice,46,Perubahan dalam praktek
Change in operations,47,Perubahan dalam operasi
Industrial or production standard,48,Industri atau produksi standar
Different environmental management of land based environments,49,pengelolaan lingkungan yang berbeda dari lingkungan darat
Different environmental management of aquatic environments,50,pengelolaan lingkungan yang berbeda dari lingkungan perairan
Research and Development,51,Penelitian dan Pengembangan
New infrastructure,52,infrastruktur baru
The use of compostable plastic,53,Penggunaan plastik kompos
The use of bio-based plastic,54,Penggunaan plastik berbasis bio
The use of biodegradable plastic,55,Penggunaan plastik biodegradable
Other,56,Lain
Reducing the environmental impact,57,Mengurangi dampak lingkungan
Developing a new material,58,Mengembangkan materi baru
Developing a new process,59,Mengembangkan proses baru
Manufacturing and Production,60,Manufaktur dan Produksi
Standards,61,standar
Waste Management,62,Penanganan limbah
Compostable plastic,63,plastik kompos
Bio-based plastic,64,plastik berbasis bio
Bio-degradable pastic,65,Bio-degradable pastic
Other,66,Lain
Monitoring: On or near ocean surface,67,Pemantauan: Pada atau dekat permukaan laut
Monitoring: Water column,68,Pemantauan: Kolom Air
Monitoring: On the seafloor,69,Pemantauan: Pada dasar laut
Monitoring: On the shoreline,70,Pemantauan: Pada garis pantai
Monitoring: In Biota,71,Pemantauan: Dalam Biota
Monitoring: Air,72,Pemantauan: Air
Review and synthesis :Environmental,73,Review dan sintesis: Lingkungan
Review and synthesis: Economic,74,Review dan sintesis: Ekonomi
Review and synthesis: Materials,75,Review dan sintesis: Bahan
Other,76,Lain
Role Organisation,77,Organisasi peran
We are only reporting it here,78,Kami hanya melaporkan di sini
I/We developed it,79,Saya / kami dikembangkan
I/We are implementing it,80,Saya / kami menerapkan itu
We are the funding body,81,Kami adalah tubuh pendanaan
Other,82,Lain
Responsible Actor,83,Aktor bertanggung jawab
PUBLIC ADMINISTRATION (organisations concerned with government policies and programmes),84,ADMINISTRASI PUBLIK (organisasi yang bersangkutan dengan kebijakan dan program pemerintah)
"PRIVATE SECTOR ORGANISATION (for-profit organisations run by individuals and groups, free from government ownership).",85,"SEKTOR SWASTA ORGANISASI (organisasi nirlaba yang dijalankan oleh individu dan kelompok, bebas dari kepemilikan pemerintah)."
"THIRD SECTOR (e.g. non-governmental and non-profit-making organisations, including charity groups, community groups etc).",86,"KETIGA SEKTOR (misalnya non-pemerintah dan non-profit organisasi, termasuk kelompok-kelompok amal, kelompok masyarakat dll)."
Other,87,Lain
International body,88,badan internasional
National ministry/agency,89,pelayanan nasional / lembaga
Sub-national ministry/agency,90,Sub-nasional kementerian / lembaga
Other,91,Lain
Multinational Corporation,92,Korporasi multi-nasional
National Corporation,93,Perusahaan nasional
Small-medium sized enterprise,94,Kecil-menengah perusahaan
Other,95,Lain
Non-governmental organisation,96,Organisasi non pemerintah
Community based organisation,97,organisasi berbasis masyarakat
Educational sector,98,sektor pendidikan
Other,99,Lain
Reporting and Evaluations,100,Pelaporan dan Evaluasi
Yes,101,Iya
No,102,Tidak
Not applicable,103,Tak dapat diterapkan
There is a mandatory reporting mechanism,104,Ada mekanisme pelaporan wajib
Reporting is voluntary,105,Pelaporan bersifat sukarela
Other,106,Lain
There is no reporting mechanism,107,Tidak ada mekanisme pelaporan
Reporting is voluntary,108,Pelaporan bersifat sukarela
There is not enough resource to support reporting,109,Tidak ada cukup sumber daya untuk pelaporan dukungan
Reporting is too effortful,110,Pelaporan terlalu effortful
Other,111,Lain
Outcome Evaluated,112,hasil Dievaluasi
Yes,113,Iya
No,114,Tidak
Other,115,Lain
Geography,116,Geografi
Global (it covers the whole world),117,Global (mencakup seluruh dunia)
Regional (UN Regions),118,Regional (Daerah UN)
"Transnational (several countries are involved, including bilateral)",119,"Transnasional (beberapa negara yang terlibat, termasuk bilateral)"
National (it covers one entire country),120,Nasional (mencakup satu seluruh negara)
Sub-national (it covers parts of one country),121,Sub-nasional (mencakup bagian dari satu negara)
Global with elements in specific areas,122,Global dengan elemen di daerah tertentu
Other,123,Lain
Source to Sea,124,Sumber ke Sea
Mountains and upland area,125,Pegunungan dan daerah dataran tinggi
Agricultural land/soils,126,tanah / tanah pertanian
Entire water catchment,127,tangkapan air seluruh
Forests or Mangroves,128,Hutan Mangrove atau
Freshwater rivers and lakes,129,sungai dan danau air tawar
Urban environment,130,Lingkungan urban
Waste disposal sites,131,Limbah tempat pembuangan
Coastal zone,132,zona pesisir
Maritime area within national jurisdiction,133,wilayah maritim dalam yurisdiksi nasional
Areas beyond national jurisdiction,134,Kawasan di luar yurisdiksi nasional
Open ocean and high seas,135,Laut terbuka dan laut lepas
Air,136,Udara
All of the above,137,Semua yang di atas
Not applicable,138,Tak dapat diterapkan
Other,139,Lain
Lifecycle of Plastics,140,Siklus Hidup dari Plastik
Raw materials,141,Bahan baku
Design,142,Rancangan
Production / Manufacture,143,Produksi / Industri
Use / consumption,144,Penggunaan / konsumsi
Collection / sorting of plastics after use,145,Koleksi / menyortir plastik setelah digunakan
Management of collected plastics,146,Manajemen dari plastik yang dikumpulkan
Clean-up of plastic from the environment,147,Clean-up dari plastik dari lingkungan
All of the above,148,Semua yang di atas
Not applicable,149,Tak dapat diterapkan
Other,150,Lain
Target Action,151,Target Aksi
Reducing plastics,152,mengurangi plastik
Reusing plastic,153,Menggunakan kembali plastik
Recycling plastics,154,daur ulang plastik
Not Applicable,155,Tak dapat diterapkan
Other,156,Lain
Impact,157,Dampak
Human health and wellbeing,158,kesehatan manusia dan kesejahteraan
Biodiversity,159,keanekaragaman hayati
Marine organisms,160,organisme laut
Ecosystem Services,161,Layanan ekosistem
Food chain,162,Rantai makanan
Economics and Trade,163,Ekonomi dan perdagangan
All of the above,164,Semua yang di atas
Not applicable,165,Tak dapat diterapkan
Other,166,Lain
Pollutant Targeted,167,polutan Target
"Macroplastic (large, more than 20 mm, e.g. plastic bottles)",168,"Macroplastic (besar, lebih dari 20 mm, botol misalnya plastik)"
"Microplastics (tiny plastic particles less than 5 mm in diameter, e.g., found in personal care products/synthetic textiles)",169,"Microplastics (partikel plastik kecil kurang dari 5 mm, misalnya, ditemukan dalam produk perawatan pribadi / tekstil sintetis)"
Additives incorporated into plastic items,170,Aditif dimasukkan ke dalam plastik item
Not applicable,171,Tak dapat diterapkan
Other,172,Lain
Bottles,173,botol
Plastic bags,174,Kantong plastik
"Food packaging (containers, wrappers etc.)",175,"kemasan makanan (kontainer, pembungkus dll)"
"Non-food packaging (containers, wrappers etc.)",176,"kemasan non-makanan (wadah, pembungkus dll)"
Smoking related litter (cigarette butts and packets),177,Merokok sampah terkait (puntung rokok dan paket)
Fishing related items,178,Memancing item terkait
Shipping related items,179,Pengiriman item terkait
"Cups (e.g., disposable coffee cups)",180,"Cangkir (misalnya, cangkir kopi sekali pakai)"
"Plastic straws, stirrers, cutlery",181,"sedotan plastik, pengaduk, sendok garpu"
"Sewage-related items (this could include cotton bud sticks, feminine hygiene items and others disposed of via toilets)",182,"Terkait limbah item (ini dapat mencakup cotton bud tongkat, barang-barang kebersihan feminin dan lain-lain dibuang melalui toilet)"
Natural disaster/hazard related debris,183,Bencana alam / hazard terkait puing-puing
Polystyrene items,184,item polystyrene
All of the above,185,Semua yang di atas
Not applicable,186,Tak dapat diterapkan
Other,187,Lain
Microbeads used in cosmetics,188,Microbeads digunakan dalam kosmetik
Microplastics used in other products e.g. paints,189,Microplastics digunakan dalam produk lain misalnya cat
All of the above,190,Semua yang di atas
Not applicable,191,Tak dapat diterapkan
Other,192,Lain
Sector,193,Sektor
Packaging,194,Pengemasan
Textiles,195,Tekstil
Transportation,196,Angkutan
"Building, Construction, Demolition",197,"Bangunan, Konstruksi, Demolition"
Industrial Machinery,198,Mesin industri
Automotive,199,otomotif
Electrical and Electronics,200,Listrik dan Elektronika
Agriculture,201,Pertanian
Fisheries,202,perikanan
Aquaculture,203,Budidaya
Food & Beverages,204,Makanan & Minuman
Personal Healthcare,205,Personal Kesehatan
Medical,206,Medis
Retail,207,Eceran
Tourism,208,Pariwisata
Wastewater/Sewage management,209,pengelolaan air limbah / Sewage
All of the above,210,Semua yang di atas
Not applicable,211,Tak dapat diterapkan
Other,212,Lain
Funding,213,pendanaan
Crowdfunded,214,Crowdfunded
Voluntary donations,215,sumbangan sukarela
Public Financing,216,Pembiayaan publik
Private Sector,217,Sektor swasta
Mixed,218,Campuran
All of the above,219,Semua yang di atas
Not applicable,220,Tak dapat diterapkan
Other,221,Lain
Duration,222,Durasi
Single event,223,peristiwa tunggal
Continuous activity less than one year,224,kegiatan terus menerus kurang dari satu tahun
Continuous activity 1-3 Years,225,kegiatan terus menerus 1-3 Tahun
Continuous activity more than 3 Years long,226,Terus menerus aktivitas lebih dari 3 tahun yang panjang
Not applicable,227,Tak dapat diterapkan
Other,228,Lain
"Giving information to stakeholders (e.g., leaflets, posters)",229,"Memberikan informasi kepada para pemangku kepentingan (misalnya, leaflet, poster)"
"Consulting with stakeholders interactively (e.g., workshops)",230,"Konsultasi dengan para pemangku kepentingan secara interaktif (misalnya, lokakarya)"
Seeking feedback from stakeholders (e.g. online),231,Mencari umpan balik dari para pemangku kepentingan (misalnya online)
Co-creating the action with stakeholders from the start,232,Co-menciptakan aksi dengan para pemangku kepentingan dari awal
Other,233,Lain
Yes,234,Iya
No,235,Tidak
Industry,236,Industri
Government,237,Pemerintah
Non Governmental Organisations (NGO's),238,Governmental Organizations Non (LSM)
United Nations Agency,239,Badan PBB
Community/citizen group(s),240,Masyarakat / kelompok warga (s)
Other,241,Lain
